,korean,pattern,gloss,here
0,내가 짧게나마 환음사(歡音寺)에 머물고 있던 때였다. ,-(이)나마,"although it is (only the likes of)...; at least, anyway; even.","It was the time when, short though it was, I stayed at Hwanum Temple."
1,책 하나를 번역하고자,-고자,"wanting to; ready / prepared / willing to; intending to, going to.",I was intending to translate a book...
2,폐사(廢寺)나 다름없는 환음사 ,NOUN -(이)나 다름 없다,is no different from a NOUN.,"Hwanŭm temple, no different from a rundown temple..."
3,그렇게 마음에 들 수가 없었다.,그렇게... -(으)ㄹ 수가 없다,"This pattern is similar in effect to the pattern 여간 + NEGATIVE (or implied negative) meaning very; not a little, to no small extent, quite, extremely, terribly.",It couldn’t have pleased me more.
4,우선 교통이 불편한 만큼 ,-(으)ㄴ 만큼,"in as much as, in so far as, since.","First of all, in so far as traffic was inconvenient..."
5,사세(寺勢)가 기울어 ,–어(서),Naked infinitive abbreviated from -어(서).,...the temple’s influence had waned...
6,얼굴 맞댈 스님이라곤 ,NOUN이라곤,= NOUN이라고[는]: the only NOUN [as topic]; as for NOUN ... (usually followed by a negative).,...the [only] face of the monk that one had to confront... 
7,주지승밖에 없는 정도여서 ,-는 정도 이다,is [only] to the extent that...; is to the point that…,... was only to the point of [=nothing more than] the head monk of the temple...
8,유유자적할 수 있다는 게 무엇보다 좋았다. ,-다는 게 무엇보다 좋았다,The best part of it was the fact that...,...the best part of it was that I could live a carefree life.
9,수려하기 짝이 없었으므로 (산행 1),-(으)므로(서),"Although the Korean spelling somewhat obscures the origin, this is a substantive in -(으)ㅁ + instrumental (으)로(서), and means with (as, etc.) the doing or being; since (because of) the doing or being. Note also -기 짝이 없다 be incredibly/unbelievably...",...because there was none second to its beauty...
10,환상적 절간 구색은 모두 갖추고 있는 셈이었다. ,-는 셈이다,"(lit.): the calculation, conjecture, supposition; accounting (for) is that …; (judgment based on) appearances, to all appearances/indications, that one might call …",It seemed like the dreamy temple had it all.
11,중간중간에 ,중간중간에,"Here and there, everywhere, all over. Reduplication for distributive effect. Cf. also 곳곳이, 집집이...",here and there throughout
12,훨씬 비켜나 ,–어(서),Naked infinitive abbreviated from -어(서).,...significantly out of the way...
13,절은 사방 산으로 가리워진 셈이다. ,-ㄴ 셈이다,"the calculation, conjecture, supposition; accounting (for) is that …; (judgment based on) appearances, to all appearances/indications, that one might call …",The temple seemed to be concealed by mountains on all four sides.
14,산모퉁이를 돌므로 ,-(으)므로(서),"Although the Korean spelling somewhat obscures the origin, this is a substantive in -(으)ㅁ + instrumental (으)로(서) , and means with (as, etc.) the doing or being; since (because of) the doing or being.",...going around the mountain bend...
15,사방에서 불어오는 꽃의 방향(芳香)에 ,-에,"(cause) for, because, since, from, on account of…",...because of the flower fragrance drifting up from all directions...
16,머리가 아프고 호흡이 탁할 지경이었다. (산행 2),-(으)ㄹ 지경이다,is the (rather pathetic or undesirable) situation/condition/circumstance of... (alternatively: -(으)ㄹ지경으로).,...it was a situation in which one’s head would hurt and one’s breathing obstructed.
17,워낙 관광객이 드문 한사(寒寺)라 ,-(이)라(서),"Naked infinitive -(이)라(서), on the alternate form for the infinitive of the copula –이다, -이어(서). ","...because it was such a cold temple bereft of visitors,..."
18,빤빤한 사찰과는 그 격이 다르다.,NOUN과는 그 격이 다르다,"is not in the manner of NOUN, is a style different from NOUN, is in a different league from NOUN.",...its’s manner was different from that of a fancy temple.
19,잡초며 퇴락한 단청 ,NOUN1(이)며 NOUN2,NOUN1  and/or NOUN2.,...weeds and dilapidated frescos...
20,"갈라진 흙벽, 삐걱이는 마루장 등이 ",등,"etc., and the like, and so on; the above several; sometimes also used to round off a list or enumeration of things.","...the cracking mud walls, the creaking wooden floors, etc... ."
21,신도며 고시생 ,NOUN1(이)며 NOUN2,NOUN1  and/or NOUN2.,...devotees and students preparing for the bar exams...
22,절 마당까지 내려와 ,-어(서),Naked infinitive from -어(서). ,"...come right up to the courtyard of the temple, and..."
23,노닐기 좋아했다. ,-기(를) 좋아한다,likes to VERB... . enjoys VERB ing...,...enjoyed meandering.
24,가장 가까운 마을이 변곡리라해서 (산행 2),–(이)라해서,from -(이)라[고] 해서: because they say/it was said that …,"because the closest village was Pyengok village, ..."
25,내 빠른 걸음으로도 ,-(으)로도,even with/by means of.,...Even with my fast walking pace...
26,천수답과 비탈밭을 일구며 산다. ,-(으)며,"short form of -(으)면서 while, at the same time, (doing) simultaneously.","…live, tilling and cultivating the rice paddies and steppes."
27,"서울에서와 같은 조급함, 답답함 ",-(으)ㅁ,substantive -(으)ㅁ the act (or fact) of having / being.,…a kind of anxiety and frustration from Seoul…
28,산중에서는 한 번도 느끼질 못했다. ,-지를 못한다,"The addition of 를 to –지 in the long form negation pattern with 못하다 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern in -지 않다.",…I did not feel it even once when I was up in the mountains.
29,방문만 열면 ,NOUN만 -(으)면,"the moment you VERB…no sooner than one VERBs, that…; as soon as one…",…the moment you open the door …
30,꽃들을 볼 수 있었는데다 ,-었는데다(가),from -었는데(에) + -다가 not only did...but in addition (on top of that).,"…not only was it possible to see flowers, (but in addition…)"
31,그렇게 아득하게 여겨질 수가 없었던 것이다. ,그렇게 ... -(으)ㄹ 수가 없다,"Similar in effect to 여간 + NEGATIVE (or implied negative) meaning very; not a little, to no small extent, quite, extremely, terribly. Note also -어 지다: besides meaning gets to be or becomes with adjectives, this can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…seemed extremely distant.
32,이런 자연 풍광에 몸을 적시고 보면 ,-고 보면,"Similar to –다 보면 if one does something over a period of time [and then steps back to reflect on it]...; if you do something for a while, then... ",…once one immerses one’s body in natures scenery…
33,한 시절이나마 ,-(이)나마,"although it is (only the likes of)…; at least, anyway; even.",…even for one season…
34,아직도 이런 무릉도원이 남아있다니 ,-다니(요),"Tsk-tsk pattern: to think that...!, just imagine!, can you believe it?!, whooda thunk that?!",To think that there are still such Utopias left on this earth…
35,아무래도 우리 모두의 복인듯 싶다 ,-ㄴ 듯 싶다,"it feels like, as if maybe; think to oneself that... ","…it feels as if it is, after all, blessedly lucky for us."
36,"꿈의 짐승, 전설의 짐승이라면",–(이)라면,"from -(이)라(고) 하면 if it (be said to be) be…, if it were (the case) that…More putative/hypothetical than -이면.","…if it is the tiger of my dreams, the mythological tiger…"
37,산이 제 아무리 높고 깊으며 산령(山靈)이 영험스러워도 ,아무리 ...-어도,no matter how (much one might)…,"Now matter how high or deep the mountain, or how miraculous the mountain spirit,…"
38,결코 야산에 지나지 않고 ,NOUN에 지나지 않다,"be nothing but, be only, merely, be nothing more than a NOUN. Note also 결코 + Negative not VERB at all, not VERB in the least.",…it is not any different from any old hill…
39,산다웁게 ,NOUN다웁게,"substandard version of NOUN답게 in a way that is like, worth being, worthy of the name; in a way becoming to or every bit a NOUN.",…as is becoming any mountain…
40,산성(山性)을 가지려면 ,-(으)려면,"From -(으)려[고 하]면: [shape is -려 after vowels and the ㄹ of L-dropping bases] with the thought in mind to do, with the intention of doing, with the desire to do; ready (prepared, willing) to do. In colloquial Korean, is often rendered -(으)ㄹ라고 하다.",…In order to achieve a mountain character…
41,비밀스러이,-스러이,adverb from -스럽다 in a … manner. ,secretly (hiding)
42,숨기고 있는 산이라야 했다.,-(이)라야 했다 ,alternate from of -이어야 했다 had to be.,…it had to be a mountain that is secretly hiding a savage beast.
43,내 혼자의 환몽일 수도 있으리라. ,-(으)리라,"prospective assertive: will probably be/do (usually as an inner thought, or else in an indirect quotation). ","…it might be that I am the only one with this empty dream, I thought to myself."
44,내 환몽이 깊다면 ,-다면,from –다[고 하]면: more hypothetical conditional than plain -(으)면.,If my fantasy runs deep…
45,호랑이보다 더한 짐승인들 ,-(으)ㄴ들,"[lit.] granted that, even though it is or does [often followed by a rhetorical question].","Granted there are beasts larger than the tiger,…"
46,내가 산승(山僧)이 아니듯 ,-듯,"is like, is as (if) with 듯 added directly to the verb stem. Martin treats this as an abbreviation of the pattern where 듯 is used as a post-modifier, i.e. -(으)ㄴ 듯, -(으)ㄹ 듯, -는 듯; but in any case you should keep them distinct.","…just like/ just as a spiritual mountain monk, I…"
47,꿈을 꿈으로만 만족할 수 없을 만큼 ,-(으)ㄹ(이) 만큼,"to the extent that will do/be (= -(으)ㄹ 정도(로) ); enough to do, as much as necessary for doing.",…to the extent that I couldn’t be satisfied with only a dream…
48,희미한 촛불마저도 ,마저(도),going to the extreme/limit of; (including) even; including (even the extreme case of); also (on top of everything/everyone else); with all the rest.,…including even faint candle-light…
