Vocabulary for 山行

Page 1
호랑이 			tiger
머무르다			stay
당시 (當時) 			at (during) that time; then
출판사 (出版社)		publishing company
의뢰(를) 받다 (依賴)	receive a request, be requested
경제학 (經濟學)		economics
관계 (關係)			connection, relation
번역하다 (飜譯)		translate
작정 (作定)			intention
폐사 (廢寺) 			a ruined temple
다름없다 			the same as, be no different from
절방 [-빵] 			a room in a Buddhist temple
차지하다 			lease, rent out, take up
안면 (顔面) 			acquaintance
총무원 (總務院) 		head of a Buddhist order; general affairs office
연지 				the name of the Buddhist monk
인적 (人跡)			humans, people
드물다 			be rare, sparse
거찰 (巨刹) 			large Buddhist temple
사세 (寺勢)			influence / power of temples
기울다 			wane, decline, fall; slanted
맞대다 			face, encounter
주지승 (住持僧) 		head monk of a Buddhist temple
절간 (=절) [-깐] 		Buddhist temple
신경(을) 쓰다 (神經)	stress over, care about, pay attention to
유유자적하다 (悠悠自適)	lead a carefree life (quite a poetic expression)
풍치 (風致) 			scene, scenery
수려하다 (秀麗)		(appearance) be strikingly beautiful
짝이 없다 			matchless, incomparable, unparalleled
환상적 (幻想的)		fantastic
절간 [-깐] (間) 		Buddhist temple
구색 (具色)			assortment of goods
갖추다 			equipped with; contain
해발 (海拔)			above sea level
다다르다 			come to, arrive at, reach
손꼽히다 			be/get counted [among the best or among the few]
거산 (巨山)			grand, tall mountain
장엄 (莊嚴)			majesty, solemnity, sublimity
웅대하다 (雄大)		be grand, magnificent
연봉 (連峯)			chain of mountain peaks
병풍 (屛風)			folding screen
천공 (天空)			the sky, the air
솟다 				gush forth, stand erect
구절심곡 (九折深谷)	long winding deep valleys
구슬 				pearl, jewel; gem
석간수 (石間水) 		water flowing between rocks
요란스럽다 (搖亂-)		be noisy, boisterous
흘러내리다 			flow downwards
울울창창하다 (鬱鬱蒼蒼)	be luxuriant
수림 (樹林)			forest
들다 				enter
(산)등성이 			mountain ridge
중간중간 (中間中間)	here and there
삐져나오다 			stick out
암벽 (岩壁)			cliff
햇살 				sunbeams, the rays of the sun, sunshine
거울 				mirror
번쩍이다			shine, glitter
주봉 (主峰)			main (highest) peak
훨씬 				considerably [more]
비키다 			move (over), move (out of the way)
중턱 				mid-slope of a mountain
위치하다 (位置)		be situated, located
주위 (主位)			surroundings
산세 (山勢)			physical aspect (geographical features) of a mountain
예의 (禮儀)			manners, propriety; dignity, grace
험하다 (險)			be rugged, rough and irregular, steep, dangerous
골 				valley
사방 (四方)			four sides, four directions (everywhere)
가리워지다 			be/get hidden, concealed

Page 2
골 				valley
흐르다 			flow
이내 				right away, immediately
모퉁이 			corner
돌다 				turn, make a turn
트이다 			be/get opened up
온통 				all, everywhere; in its entirety
천지 (天地)			heaven and earth (the whole world)
한철 				one season
둘레 	 			surrounding area, neighboring area
꽃숲 				flower forest
이루다 			form, make
벚꽃 				cherry blossom
살구꽃 			apricot blossom
철쭉 				royal azalea blossom
목련 (木蓮)			magnolia
산당화 (山棠花) 		sweet mountain brier
지치다 			get exhausted
꽃망울 			flower bud
터뜨리다 			burst out
사방 (四方)			four directions, all around
불어오다 			come blowing in
방향 (芳香)			fragrance
호흡 (呼吸)			breathing
탁하다 (濁)			be raspy (voice); muddy, murky
지경 (地境)			a situation, condition
워낙 				by nature; so (very)
관광객 (觀光客) 		tourists
드물다 			be rare, uncommon, unusual
한사 (寒寺) 			cold temple
절간 [-깐] (間)		Buddhist temple
자체 (自體)			itself
손질되다			be/get maintained
정리되다 (整理)		be/get organized
유원지 (遊園地)		amusement park
빤빤하다 			brazen-faced; impudent, shameless
사찰 (寺刹)			Buddhist temple
격 (格)			rank, class, level
대웅전 (大雄殿)		the main shrine
지붕 				roof
자라다 			grow
잡초 (雜草) 			weeds
퇴락하다 (頹落)		be dilapidated, deteriorated
단층 (單層)			single-story, one floor
갈라지다 			be/get split
흙벽 				mud wall
삐걱이다 			creak, squeak
마루장/마룻장		wooden floor
유현하다 (幽玄)		be subtle and profound
전통 (傳統)			tradition
도량 (度量)			magnanimity
품격 (品格)			grace, dignity
