korean,stem,createdDate,english,hanja,lastUpdated,order_id,storyList
호랑이,호랑이 ,{'$date': {'$numberLong': '1599430742443'}},tiger,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 0},['5f53fc3cceceb9573eaf8788']
머무르,머무르다,{'$date': {'$numberLong': '1599430742443'}},stay,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 1},['5f53fc3cceceb9573eaf8788']
당시,당시 ,{'$date': {'$numberLong': '1599430742443'}},at (during) that time; then,當時,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 2},['5f53fc3cceceb9573eaf8788']
출판사,출판사 ,{'$date': {'$numberLong': '1599430742443'}},publishing company,出版社,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 3},['5f53fc3cceceb9573eaf8788']
의뢰받,의뢰,{'$date': {'$numberLong': '1599430742443'}},"receive a request, be requested",를,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 4},['5f53fc3cceceb9573eaf8788']
경제학,경제학 ,{'$date': {'$numberLong': '1599430742443'}},economics,經濟學,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 5},['5f53fc3cceceb9573eaf8788']
관계,관계 ,{'$date': {'$numberLong': '1599430742443'}},"connection, relation",關係,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 6},['5f53fc3cceceb9573eaf8788']
번역하,번역하다 ,{'$date': {'$numberLong': '1599430742443'}},translate,飜譯,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 7},['5f53fc3cceceb9573eaf8788']
작정,작정 ,{'$date': {'$numberLong': '1599430742443'}},intention,作定,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 8},['5f53fc3cceceb9573eaf8788']
폐사 ,폐사 ,{'$date': {'$numberLong': '1599430742443'}},a ruined temple,廢寺,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 9},['5f53fc3cceceb9573eaf8788']
다름없,다름없다 ,{'$date': {'$numberLong': '1599430742443'}},"the same as, be no different from",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 10},['5f53fc3cceceb9573eaf8788']
절방,절방 [-빵] ,{'$date': {'$numberLong': '1599430742443'}},a room in a Buddhist temple,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 11},['5f53fc3cceceb9573eaf8788']
차지하,차지하다 ,{'$date': {'$numberLong': '1599430742443'}},"lease, rent out, take up",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 12},['5f53fc3cceceb9573eaf8788']
안면,안면 ,{'$date': {'$numberLong': '1599430742443'}},acquaintance,顔面,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 13},['5f53fc3cceceb9573eaf8788']
총무원 ,총무원 ,{'$date': {'$numberLong': '1599430742443'}},head of a Buddhist order; general affairs office ,總務院,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 14},['5f53fc3cceceb9573eaf8788']
연지,연지 ,{'$date': {'$numberLong': '1599430742443'}},the name of the Buddhist monk,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 15},['5f53fc3cceceb9573eaf8788']
인적,인적 ,{'$date': {'$numberLong': '1599430742443'}},"humans, people",人跡,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 16},['5f53fc3cceceb9573eaf8788']
드물,드물다 ,{'$date': {'$numberLong': '1599430742443'}},"be rare, sparse",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 17},['5f53fc3cceceb9573eaf8788']
거찰 ,거찰 ,{'$date': {'$numberLong': '1599430742443'}},large Buddhist temple,巨刹,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 18},['5f53fc3cceceb9573eaf8788']
사세 ,사세 ,{'$date': {'$numberLong': '1599430742443'}},influence / power of temples,寺勢,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 19},['5f53fc3cceceb9573eaf8788']
기울,기울다 ,{'$date': {'$numberLong': '1599430742443'}},"wane, decline, fall; slanted",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 20},['5f53fc3cceceb9573eaf8788']
맞대,맞대다 ,{'$date': {'$numberLong': '1599430742443'}},"face, encounter",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 21},['5f53fc3cceceb9573eaf8788']
주지승,주지승 ,{'$date': {'$numberLong': '1599430742443'}},head monk of a Buddhist temple,住持僧,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 22},['5f53fc3cceceb9573eaf8788']
절간 ,절간 ,{'$date': {'$numberLong': '1599430742443'}},Buddhist temple,#NAME?,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 23},['5f53fc3cceceb9573eaf8788']
신경 쓰,신경,{'$date': {'$numberLong': '1599430742443'}},"stress over, care about, pay attention to",을,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 24},['5f53fc3cceceb9573eaf8788']
유유자적하,유유자적하다 ,{'$date': {'$numberLong': '1599430742443'}},lead a carefree life (quite a poetic expression),悠悠自適,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 25},['5f53fc3cceceb9573eaf8788']
풍치,풍치 ,{'$date': {'$numberLong': '1599430742443'}},"scene, scenery",風致,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 26},['5f53fc3cceceb9573eaf8788']
수려하,수려하다 ,{'$date': {'$numberLong': '1599430742443'}},(appearance) be strikingly beautiful,秀麗,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 27},['5f53fc3cceceb9573eaf8788']
짝이 없,짝이 없다 ,{'$date': {'$numberLong': '1599430742443'}},"matchless, incomparable, unparalleled",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 28},['5f53fc3cceceb9573eaf8788']
환상적,환상적 ,{'$date': {'$numberLong': '1599430742443'}},fantastic,幻想的,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 29},['5f53fc3cceceb9573eaf8788']
절간,절간 [-깐] ,{'$date': {'$numberLong': '1599430742443'}},Buddhist temple,間,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 30},['5f53fc3cceceb9573eaf8788']
구색,구색 ,{'$date': {'$numberLong': '1599430742443'}},assortment of goods,具色,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 31},['5f53fc3cceceb9573eaf8788']
갖추,갖추다 ,{'$date': {'$numberLong': '1599430742443'}},equipped with; contain,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 32},['5f53fc3cceceb9573eaf8788']
해발,해발 ,{'$date': {'$numberLong': '1599430742443'}},above sea level,海拔,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 33},['5f53fc3cceceb9573eaf8788']
다다르,다다르다 ,{'$date': {'$numberLong': '1599430742443'}},"come to, arrive at, reach",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 34},['5f53fc3cceceb9573eaf8788']
손꼽,손꼽히다 ,{'$date': {'$numberLong': '1599430742443'}},be/get counted [among the best or among the few],,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 35},['5f53fc3cceceb9573eaf8788']
거산,거산 ,{'$date': {'$numberLong': '1599430742443'}},"grand, tall mountain",巨山,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 36},['5f53fc3cceceb9573eaf8788']
장엄,장엄 ,{'$date': {'$numberLong': '1599430742443'}},"majesty, solemnity, sublimity",莊嚴,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 37},['5f53fc3cceceb9573eaf8788']
